id,name,year,release_date,genere,actors,crew,poster,images,details_table,scrap_date
1,প্রেম প্রেম পাগলামী,২০১৩,"২১ জুন, ২০১৩",romantic,"[{'p': '14', 'c': None}, {'p': '89', 'c': None}, {'p': '26', 'c': None}, {'p': '46', 'c': None}]","[{'i': 'কাহিনী', 'p': '74'}, {'i': 'সংলাপ', 'p': '93'}, {'i': 'সঙ্গীত পরিচালক', 'p': '94'}]",https://www.bmdb.com.bd/wp-content/uploads/2013/05/Prem-Prem-Paglami-Demo-Poster-217x275.jpg,"[""https://www.bmdb.com.bd/wp-content/uploads/2013/05/Prem-Prem-Paglami-5.jpg"", ""https://www.bmdb.com.bd/wp-content/uploads/2013/05/Prem-Prem-Paglami-6.jpg"", ""https://www.bmdb.com.bd/wp-content/uploads/2013/05/Prem-Prem-Paglami-1.jpg"", ""https://www.bmdb.com.bd/wp-content/uploads/2013/05/Prem-Prem-Paglami-2.jpg""]","[{'t': 'পরিচালকঃ', 'v': 'person/91'}, {'t': 'প্রযোজকঃ', 'v': 'person/417'}, {'t': 'প্রযোজনাঃ', 'v': 'company/4'}]",2021-08-10 05:37
2,রোমিও ২০১৩,২০১৩,"৭ জুন, ২০১৩",romantic,"[{'p': '178', 'c': None}, {'p': '14', 'c': None}]","[{'i': 'কাহিনী', 'p': '74'}, {'i': 'সঙ্গীত পরিচালক', 'p': '108'}, {'i': 'গীতিকার', 'p': '109'}]",https://www.bmdb.com.bd/wp-content/uploads/2013/05/Romeo-2013-217x275.jpg,"[""https://www.bmdb.com.bd/wp-content/uploads/2013/05/Romeo-2013-1-Copy.jpg"", ""https://www.bmdb.com.bd/wp-content/uploads/2013/05/Romeo-2013-1-Copy1.jpg"", ""https://www.bmdb.com.bd/wp-content/uploads/2013/05/Romeo-2013.jpg""]","[{'t': 'পরিচালকঃ', 'v': 'person/106'}, {'t': 'প্রযোজনাঃ', 'v': 'company/5'}]",2021-08-10 05:37
3,নিষ্পাপ মুন্না,২০১৩,"৩১ মে, ২০১৩","action,romantic","[{'p': '110', 'c': 'মুন্না'}, {'p': '111', 'c': None}, {'p': '115', 'c': None}, {'p': '33', 'c': None}]","[{'i': 'কাহিনী', 'p': '113'}, {'i': 'সংলাপ', 'p': '113'}, {'i': 'সঙ্গীত পরিচালক', 'p': '94'}, {'i': 'গীতিকার', 'p': '362'}]",,[],"[{'t': 'পরিচালকঃ', 'v': 'person/112'}, {'t': 'প্রযোজকঃ', 'v': 'person/114'}, {'t': 'প্রযোজনাঃ', 'v': 'company/6'}]",2021-08-10 05:38
4,এইতো ভালোবাসা,২০১৩,"২৪ মে, ২০১৩","%e0%a6%95%e0%a6%ae%e0%a7%87%e0%a6%a1%e0%a6%bf,romantic","[{'p': '120', 'c': 'সিদ্দিক'}, {'p': '119', 'c': 'রাণী'}, {'p': '118', 'c': 'নিরব'}, {'p': '117', 'c': 'ইমন'}]","[{'i': 'কাহিনী', 'p': '277'}, {'i': 'সংলাপ', 'p': '120'}, {'i': 'সঙ্গীত পরিচালক', 'p': '123'}, {'i': 'গীতিকার', 'p': '133'}]",https://www.bmdb.com.bd/wp-content/uploads/2013/05/eito-217x275.jpg,"[""https://www.bmdb.com.bd/wp-content/uploads/2013/05/417829_635180726495975_1577207222_n.jpg"", ""https://www.bmdb.com.bd/wp-content/uploads/2013/05/535955_624262994254415_1122933873_n.jpg"", ""https://www.bmdb.com.bd/wp-content/uploads/2013/05/eito.jpg""]","[{'t': 'পরিচালকঃ', 'v': 'person/116'}, {'t': 'প্রযোজনাঃ', 'v': 'company/7'}]",2021-08-10 05:38
5,জটিল প্রেম,২০১৩,"১৭ মে, ২০১৩",romantic,"[{'p': '14', 'c': 'জীবন চৌধুরী'}, {'p': '89', 'c': 'রুমকী'}, {'p': '42', 'c': None}, {'p': '134', 'c': None}, {'p': '115', 'c': 'সাজ্জাদ/ভাইরাস'}]","[{'i': 'কাহিনী', 'p': '74'}, {'i': 'সংলাপ', 'p': '74'}, {'i': 'সঙ্গীত পরিচালক', 'p': '108'}, {'i': 'গীতিকার', 'p': '109'}]",,[],"[{'t': 'পরিচালকঃ', 'v': 'person/12'}, {'t': 'প্রযোজকঃ', 'v': 'person/1841'}, {'t': 'প্রযোজনাঃ', 'v': 'company/8'}]",2021-08-10 05:38
6,জজ ব্যারিস্টার পুলিশ কমিশনার,২০১৩,"১০ মে, ২০১৩","action,drama,romantic","[{'p': '110', 'c': 'ভিক্টর'}, {'p': '146', 'c': 'লিলি'}, {'p': '17', 'c': 'জজ'}, {'p': '148', 'c': 'পুলিশ কমিশনার'}, {'p': '62', 'c': 'ব্যারিস্টার'}, {'p': '150', 'c': None}]","[{'i': 'কাহিনী', 'p': '161'}, {'i': 'সংলাপ', 'p': '162'}, {'i': 'সঙ্গীত পরিচালক', 'p': '153'}, {'i': 'গীতিকার', 'p': '156'}]",https://www.bmdb.com.bd/wp-content/uploads/2014/10/941516_379793875469524_668389344_n-235x275.jpg,"[""https://www.bmdb.com.bd/wp-content/uploads/2014/10/941516_379793875469524_668389344_n.jpg""]","[{'t': 'পরিচালকঃ', 'v': 'person/147'}]",2021-08-10 05:38
7,মাটির পিঞ্জিরা,২০১৩,"২৬ এপ্রিল, ২০১৩","drama,romantic","[{'p': '193', 'c': None}, {'p': '194', 'c': None}, {'p': '195', 'c': None}, {'p': '196', 'c': None}]","[{'i': 'কাহিনী', 'p': '192'}, {'i': 'চিত্রনাট্য', 'p': '192'}, {'i': 'সংলাপ', 'p': '192'}, {'i': 'সঙ্গীত পরিচালক', 'p': '211'}, {'i': 'সুরকার', 'p': '211'}, {'i': 'গীতিকার', 'p': '204'}]",https://www.bmdb.com.bd/wp-content/uploads/2013/05/Matir-Pinjira-1-235x158.jpg,"[""https://www.bmdb.com.bd/wp-content/uploads/2013/05/Matir-Pinjira-1.jpg"", ""https://www.bmdb.com.bd/wp-content/uploads/2013/05/Matir-Pinjira-2.jpg""]","[{'t': 'পরিচালকঃ', 'v': 'person/192'}, {'t': 'প্রযোজকঃ', 'v': 'person/212'}, {'t': 'পরিবেশকঃ', 'v': 'company/11'}]",2021-08-10 05:38
8,শিখন্ডী কথা,২০১৩,"১৯ এপ্রিল, ২০১৩",drama,"[{'p': '213', 'c': None}, {'p': '214', 'c': 'রামজেদ মোল্লা'}, {'p': '215', 'c': 'রামেলা'}]","[{'i': 'কাহিনী', 'p': '%e0%a6%85%e0%a6%a8%e0%a6%a8-%e0%a6%9c%e0%a6%be%e0%a6%ae%e0%a6%be%e0%a6%a8'}, {'i': 'চিত্রনাট্য', 'p': '213'}, {'i': 'সংলাপ', 'p': '%e0%a6%85%e0%a6%a8%e0%a6%a8-%e0%a6%9c%e0%a6%be%e0%a6%ae%e0%a6%be%e0%a6%a8'}]",,[],"[{'t': 'পরিচালকঃ', 'v': 'person/213'}, {'t': 'প্রযোজনাঃ', 'v': 'company/12'}]",2021-08-10 05:38
9,দেহরক্ষী,২০১৩,"১২ এপ্রিল, ২০১৩",action,"[{'p': '165', 'c': None}, {'p': '166', 'c': None}, {'p': '167', 'c': None}, {'p': '26', 'c': None}]","[{'i': 'কাহিনী', 'p': '74'}, {'i': 'চিত্রনাট্য', 'p': '168'}, {'i': 'সংলাপ', 'p': '74'}, {'i': 'সঙ্গীত পরিচালক', 'p': '169'}, {'i': 'সুরকার', 'p': '169'}, {'i': 'গীতিকার', 'p': '174'}]",https://www.bmdb.com.bd/wp-content/uploads/2013/05/dehorokkhi-poster-226x275.jpg,"[""https://www.bmdb.com.bd/wp-content/uploads/2013/05/boby-dehorokkhi.jpg"", ""https://www.bmdb.com.bd/wp-content/uploads/2013/05/dehookkhi.jpg"", ""https://www.bmdb.com.bd/wp-content/uploads/2013/05/milon-n-boby-dehorokkhi.jpg"", ""https://www.bmdb.com.bd/wp-content/uploads/2013/07/56.jpg"", ""#video-0""]","[{'t': 'পরিচালকঃ', 'v': 'person/168'}, {'t': 'প্রযোজকঃ', 'v': 'person/169'}, {'t': 'প্রযোজনাঃ', 'v': 'company/9'}]",2021-08-10 05:38
10,সেই তুমি অনামিকা,২০১৩,"৫ এপ্রিল, ২০১৩",romantic,"[{'p': '184', 'c': None}, {'p': '185', 'c': None}, {'p': '186', 'c': None}, {'p': '187', 'c': None}, {'p': '177', 'c': None}]","[{'i': 'কাহিনী', 'p': '177'}, {'i': 'সংলাপ', 'p': '177'}, {'i': 'সঙ্গীত পরিচালক', 'p': '94'}, {'i': 'গীতিকার', 'p': '183'}]",,[],"[{'t': 'পরিচালকঃ', 'v': 'person/175'}, {'t': 'প্রযোজকঃ', 'v': 'person/176'}, {'t': 'পরিবেশকঃ', 'v': 'company/10'}]",2021-08-10 05:38
